base,form,base_MAPE,in_sample_MAPE,LOSO_MAPE,gain_pp
GERG-2008,spline_df4,0.9173,0.953,1.2876,-0.3702
GERG-2008,spline_df5,0.9173,0.968,1.3291,-0.4118
GERG-2008,spline_df7,0.9173,0.9224,1.2532,-0.3358
GERG-2008,spline_df9,0.9173,0.9288,1.2813,-0.364
GERG-2008,rational_1_1,0.9173,1.0012,1.2866,-0.3693
GERG-2008,rational_2_1,0.9173,1.0039,1.2923,-0.375
GERG-2008,phys_exp_decay,0.9173,0.9452,1.1217,-0.2044
GERG-2008,phys_power_law,0.9173,0.9339,1.188,-0.2706
GERG-2008,phys_gaussian_bump,0.9173,0.921,1.1132,-0.1959
GERG-2008,fourier_o1,0.9173,1.0053,1.2905,-0.3732
GERG-2008,fourier_o2,0.9173,0.9854,1.3745,-0.4572
GERG-2008,fourier_o3,0.9173,0.9568,1.4245,-0.5072
GERG-2008,symbolic_gp,0.9173,0.9585,0.963,-0.0457
AGA8-DETAIL,poly_deg1,0.7688,0.8997,1.0486,-0.2799
AGA8-DETAIL,poly_deg2,0.7688,0.8725,2.2978,-1.529
AGA8-DETAIL,poly_deg3,0.7688,0.8712,15.9339,-15.1651
AGA8-DETAIL,poly_deg4,0.7688,0.8351,34.6472,-33.8785
AGA8-DETAIL,poly_deg5,0.7688,0.8158,355.7926,-355.0238
AGA8-DETAIL,poly_deg6,0.7688,0.7976,4862.5196,-4861.7508
AGA8-DETAIL,rbf_k4_w0.7,0.7688,0.8779,1.0299,-0.2611
AGA8-DETAIL,rbf_k4_w1.0,0.7688,0.8781,1.0316,-0.2629
AGA8-DETAIL,rbf_k4_w1.5,0.7688,0.8806,1.0505,-0.2817
AGA8-DETAIL,rbf_k9_w0.7,0.7688,0.8191,1.0569,-0.2881
AGA8-DETAIL,rbf_k9_w1.0,0.7688,0.8335,1.0843,-0.3155
AGA8-DETAIL,rbf_k9_w1.5,0.7688,0.8409,1.1325,-0.3637
AGA8-DETAIL,rbf_k16_w0.7,0.7688,0.779,1.0012,-0.2325
AGA8-DETAIL,rbf_k16_w1.0,0.7688,0.7854,1.0096,-0.2408
AGA8-DETAIL,rbf_k16_w1.5,0.7688,0.8126,1.0695,-0.3008
AGA8-DETAIL,rbf_k25_w0.7,0.7688,0.7673,1.0199,-0.2511
AGA8-DETAIL,rbf_k25_w1.0,0.7688,0.7695,1.0232,-0.2545
AGA8-DETAIL,rbf_k25_w1.5,0.7688,0.7803,1.0149,-0.2461
AGA8-DETAIL,spline_df4,0.7688,0.833,1.0273,-0.2585
AGA8-DETAIL,spline_df5,0.7688,0.8481,1.0677,-0.2989
AGA8-DETAIL,spline_df7,0.7688,0.8144,1.0091,-0.2404
AGA8-DETAIL,spline_df9,0.7688,0.8168,1.0164,-0.2476
AGA8-DETAIL,rational_1_1,0.7688,0.8874,1.0608,-0.292
AGA8-DETAIL,rational_2_1,0.7688,0.8767,1.9491,-1.1803
AGA8-DETAIL,phys_exp_decay,0.7688,0.864,0.9826,-0.2138
AGA8-DETAIL,phys_power_law,0.7688,0.8234,0.9898,-0.2211
AGA8-DETAIL,phys_gaussian_bump,0.7688,0.7619,0.7756,-0.0068
